feature,auc_without,accuracy_without,auc_impact,accuracy_impact,precision_without,recall_without,f1_without
price,0.8924537147495957,0.91205,-0.000750757781857847,-0.0007000000000000339,0.29774127310061604,0.3724315068493151,0.33092430581970333
total_purchases,0.8923411704138103,0.9118,-0.0006382134460725108,-0.00045000000000006146,0.2961696306429549,0.3707191780821918,0.32927756653992396
total_events,0.8924474408177279,0.91,-0.0007444838499900408,0.0013499999999999623,0.2887700534759358,0.3698630136986301,0.32432432432432434
purchase_rate,0.8914088095823489,0.91285,0.00029414738538890983,-0.0015000000000000568,0.29121278140885987,0.3433219178082192,0.3151277013752456
avg_price,0.8922777036827434,0.9103,-0.0005747467150055696,0.0010499999999999954,0.2882273342354533,0.3647260273972603,0.3219954648526077
price_std,0.8917453742027561,0.9104,-4.2417235018299415e-05,0.0009500000000000064,0.28975741239892183,0.3681506849315068,0.32428355957767724
min_price,0.8928073508295411,0.9071,-0.0011043938618032767,0.004249999999999976,0.29366028708133973,0.4203767123287671,0.3457746478873239
max_price,0.8927321545736782,0.91355,-0.0010291976059403352,-0.0021999999999999797,0.2948061448427213,0.3450342465753425,0.31794871794871793
unique_products,0.8923900661654309,0.91125,-0.0006871091976931032,9.999999999998899e-05,0.28731604765241764,0.351027397260274,0.3159922928709056
unique_categories,0.8931751714511005,0.9116,-0.001472214483362655,-0.00024999999999997247,0.2945205479452055,0.3681506849315068,0.3272450532724505
session_duration_days,0.8922841367360715,0.9111,-0.0005811797683337172,0.00024999999999997247,0.2958500669344043,0.3784246575342466,0.33208114199849736
product_purchases,0.8916701324836188,0.9124,3.282448411900951e-05,-0.0010499999999999954,0.30081855388813095,0.3775684931506849,0.3348519362186788
product_views,0.8909105320948895,0.9105,0.0007924248728483629,0.0008500000000000174,0.293218085106383,0.3775684931506849,0.3300898203592814
product_purchase_rate,0.8900608916912047,0.9117,0.0016420652765331,-0.00034999999999996145,0.29002808988764045,0.3535958904109589,0.31867283950617287
product_price,0.8921952787662504,0.91095,-0.0004923217985125516,0.00039999999999995595,0.29553035356904606,0.3792808219178082,0.3322084739407574
unique_users,0.8916832031750097,0.91135,1.9753792728116615e-05,0.0,0.28890439637124915,0.3544520547945205,0.31833910034602075
category_purchases,0.8915455403801166,0.9127,0.00015741658762125077,-0.0013499999999999623,0.298465829846583,0.3664383561643836,0.32897770945426597
category_views,0.8924485319363136,0.91185,-0.0007455749685757462,-0.000500000000000056,0.2983050847457627,0.3767123287671233,0.33295497540673474
category_purchase_rate,0.8931594638897942,0.91325,-0.0014565069220563442,-0.0019000000000000128,0.29530685920577615,0.3501712328767123,0.32040736388562474
category_price,0.8910313052833416,0.9109,0.0006716516843962017,0.00044999999999995044,0.29172320217096337,0.3681506849315068,0.3255109765329296
category_users,0.8910772686537632,0.914,0.0006256883139745817,-0.002650000000000041,0.2905918057663126,0.3279109589041096,0.3081255028157683
price_ratio,0.8919237493598771,0.911,-0.00022079239213923518,0.00034999999999996145,0.29012345679012347,0.3621575342465753,0.32216298552932215
is_expensive,0.8934968468491404,0.9112,-0.0017938898814026105,0.00014999999999998348,0.2900552486187845,0.3595890410958904,0.3211009174311927
price_category_encoded,0.8918818322208774,0.9104,-0.00017887525313953212,0.0009500000000000064,0.2891891891891892,0.3664383561643836,0.32326283987915405
