feature,correlation
purchase_rate,0.8525947561191995
product_purchase_rate,0.7581349106885256
total_purchases,0.5940898084219957
price_category_encoded,0.41788712363499453
category_purchase_rate,0.37705858709355466
total_events,0.33616671693665345
category_purchases,0.3037306319563167
avg_price,0.28193604850330417
price_ratio,0.23951050285136724
unique_users,0.21844152337839282
price_std,0.2177625908207854
product_purchases,0.2098735677382683
product_views,0.2062795995718111
unique_categories,0.16175667344056316
unique_products,0.13089965260275205
min_price,0.12921512770387775
category_price,0.11104749606669613
category_views,0.10713383114408913
product_price,0.07876812024975294
category_users,0.0731658072997337
max_price,0.07009487752257124
price,0.06727204324681765
session_duration_days,0.06131177138220233
is_expensive,0.019380873217221605
